variant,base_variant,split_id,deploy_context_mode,use_z_gru_state,epoch,train_loss,train_bce,val_loss,val_bce,validation_performed,lr,residual_scale,context_dim,batch_size,aux_count_weight,aux_psth_weight,aux_temporal_kl_weight,aux_spatial_kl_weight,aux_early_temporal_kl_weight,aux_first_time_weight,early_time_window,val_temporal_kl_loss,val_spatial_kl_loss,val_early_temporal_kl_loss,val_first_time_loss,dropout,weight_decay,use_pattern_embedding,use_bit_features,current_bit_feature_mode,current_bit_encoder,use_prev_pattern_context,use_prev_pattern_bit_context,z_history_len,z_gru_hidden_dim,z_gru_layers,z_history_pattern_mode,use_frequency_features,use_rbf_features,use_frequency_film,freq_rbf_dim,experiment_group,history_strategy,freq_strategy
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,43,0.06628014952825154,0.03468699648034203,,,False,0.0008,0.4059392213821411,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,44,0.06617879933335119,0.03467125674278335,0.0712043671445413,0.03513705540619849,True,0.0008,0.41200539469718933,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.2609522727871048,0.1404842136116274,0.17829535820936382,0.026074608999453946,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,45,0.06593049294407609,0.0346310242574301,,,False,0.0008,0.419459730386734,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,46,0.06586642054429091,0.03464745206056665,0.07145764764343983,0.03519283242515308,True,0.0008,0.4256402850151062,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.2622322961872007,0.14103355584990163,0.17922722602934146,0.027271949256510043,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,47,0.06575343775818333,0.03462854033406424,,,False,0.0008,0.43175822496414185,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,48,0.06560827202557001,0.034602889560756724,0.07237732642059508,0.03522441045001701,True,0.0008,0.43925097584724426,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.26711340905172387,0.141685066965025,0.18647503542110708,0.02675077142037125,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,49,0.06562307163532245,0.0346212575306194,,,False,0.0008,0.44515472650527954,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,50,0.06549497180682107,0.034603186421935314,0.07206513242321518,0.03513871273224469,True,0.0004,0.45083972811698914,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.2670983591264346,0.1412680305816509,0.18378164745808717,0.027081333295213252,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,51,0.06511673099241852,0.03454660850291702,,,False,0.0004,0.4554213583469391,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,52,0.06496909730752398,0.03452441572217606,0.07188914404005046,0.0351264620193528,True,0.0004,0.45959198474884033,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.2666125354742763,0.14072998491200533,0.1824459897013492,0.026767165470119945,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
