variant,base_variant,split_id,deploy_context_mode,use_z_gru_state,epoch,train_loss,train_bce,val_loss,val_bce,validation_performed,lr,residual_scale,context_dim,batch_size,aux_count_weight,aux_psth_weight,dropout,weight_decay,use_pattern_embedding,use_bit_features,current_bit_feature_mode,current_bit_encoder,use_prev_pattern_context,use_prev_pattern_bit_context,z_history_pattern_mode
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,69,0.0336765237930246,0.0336714978189424,,,False,0.0008,0.3580565750598907,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,70,0.0336303807861944,0.0336253762005466,0.0342442738722202,0.0342388904096368,True,0.0008,0.3605673313140869,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,71,0.0335924335440089,0.0335874467380163,,,False,0.0008,0.3628908991813659,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,72,0.0335739999985844,0.0335690186985793,0.0341871514414697,0.0341817609564423,True,0.0008,0.3650651276111603,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,73,0.0335459228386225,0.0335409459993494,,,False,0.0008,0.3672727942466736,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,74,0.0335343951113407,0.0335294225236092,0.0342162394262724,0.0342108581879925,True,0.0008,0.3692800998687744,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,75,0.0335080528029042,0.0335030847312335,,,False,0.0008,0.3711945712566376,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,76,0.0334891612570784,0.0334842008099188,0.0342291120862051,0.0342237184319632,True,0.0008,0.3733808398246765,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,77,0.0334770268646688,0.0334720705904476,,,False,0.0008,0.3753833174705505,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,78,0.0334559124000746,0.0334509543232756,0.0342081962452258,0.0342027684629766,True,0.0008,0.3777587413787842,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,79,0.0334255967580487,0.0334206535690316,,,False,0.0008,0.3799122869968414,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,80,0.033415619935039,0.0334106733449001,0.0342291470244945,0.034223752213782,True,0.0008,0.3818123042583465,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,81,0.0333854126971489,0.0333804752467234,,,False,0.0008,0.3838219940662384,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,82,0.0333675648664496,0.0333626342040521,0.0342284325380651,0.0342230342579409,True,0.0008,0.3855943083763122,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
