variant,base_variant,split_id,deploy_context_mode,group,value,n_trials,global_bce,pattern_bce,model_bce,improvement_vs_pattern
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,29.5,154,0.0443935841321945,0.0423371754586696,0.0403102189302444,0.0478765176577254
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,30.0,144,0.041171807795763,0.038923367857933,0.0370140448212623,0.0490533872515746
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,30.5,173,0.0374632030725479,0.0352582596242427,0.0337979272007942,0.0414181652472849
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,31.0,171,0.0408871099352836,0.0387647002935409,0.0367872714996337,0.051011068805726
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,31.5,188,0.04070445895195,0.0382701680064201,0.0369111038744449,0.0355123638795413
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,32.0,173,0.0435427464544773,0.040990687906742,0.0393920131027698,0.0390009264447912
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,32.5,178,0.0398854613304138,0.0378739349544048,0.0364386513829231,0.0378963414604158
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,33.0,173,0.0414564572274684,0.0396270416676998,0.0374375060200691,0.0552535732036588
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,33.5,191,0.0399585217237472,0.0374082624912261,0.0357615873217582,0.0440190230662047
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,34.0,199,0.0446514375507831,0.0423784516751766,0.0404191836714744,0.0462326471651113
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,34.5,185,0.0395328253507614,0.0375130102038383,0.0360180623829364,0.0398514492113167
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,35.0,196,0.0391971804201602,0.037440251559019,0.0356461443006992,0.047919209503486
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,35.5,207,0.0456764958798885,0.0433717854321002,0.0410082787275314,0.0544941067337197
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,36.0,183,0.0464466884732246,0.0445426180958747,0.041979219764471,0.0575493413046849
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,36.5,193,0.0477811731398105,0.0451429076492786,0.0432215444743633,0.0425617948636061
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,37.0,212,0.0406816750764846,0.0385316908359527,0.0369682796299457,0.0405746846839182
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,37.5,198,0.0495919771492481,0.0475513450801372,0.0448085814714431,0.0576800425744373
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,38.0,207,0.0387372858822345,0.0369895324110984,0.035374142229557,0.0436715491179541
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,38.5,219,0.0426073148846626,0.0404176525771617,0.0387077257037162,0.0423064370247893
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,39.0,205,0.0424598418176174,0.0405503064393997,0.0383385084569454,0.0545445442134873
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,39.5,242,0.0447475649416446,0.0428246408700943,0.0409882515668869,0.0428816042796006
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,40.0,243,0.0420343838632106,0.0400682017207145,0.0383680872619152,0.0424305156155893
